Landing Page,Query,Clicks,Impressions,CTR,Position
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全年旅遊保險,206,2982,0.069081154,3.182427901
https://www.aig.com.hk/zh/personal/annual-travel-insurance,一年旅遊保險,38,354,0.107344633,2.293785311
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia 旅遊保險,34,2246,0.015138023,5.539180766
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全年旅遊保險180日,26,551,0.047186933,4.413793103
https://www.aig.com.hk/zh/personal/annual-travel-insurance,旅遊保險全年,20,267,0.074906367,2.550561798
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aig 旅遊保險,18,4548,0.003957784,4.005277045
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia旅遊保險,17,1233,0.01378751,5.590429846
https://www.aig.com.hk/zh/personal/annual-travel-insurance,旅遊保險 全年,16,281,0.056939502,2.690391459
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全年旅遊保,13,391,0.033248082,3.42455243
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia旅遊保險網上投保,11,374,0.029411765,5.064171123
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia全年旅遊保險,10,130,0.076923077,3.615384615
https://www.aig.com.hk/zh/personal/annual-travel-insurance,bowtie 旅遊保險,7,515,0.013592233,7.417475728
https://www.aig.com.hk/zh/personal/annual-travel-insurance,aia旅遊保險價錢,6,69,0.086956522,5.550724638
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全年旅遊保險限制,5,70,0.071428571,4.514285714
https://www.aig.com.hk/zh/personal/annual-travel-insurance,旅遊保險 一年,4,54,0.074074074,3.037037037
https://www.aig.com.hk/zh/personal/annual-travel-insurance,公幹保險,4,53,0.075471698,5.79245283
https://www.aig.com.hk/zh/personal/annual-travel-insurance,全年旅游保险,3,42,0.071428571,2.047619048
https://www.aig.com.hk/zh/personal/annual-travel-insurance,旅遊保險 bowtie,3,72,0.041666667,7.277777778
