Landing Page,Page Type,Query,Impressions,% Δ,Clicks,% Δ,Avg. Position,Δ,URL CTR,% Δ
https://www.g-niib.com/,Homepage,gniib,1325,-0.164564943,110,-0.208633094,2.54490566,-0.159381855,0.083018868,-0.052748744
https://www.g-niib.com/,Homepage,g-niib,1247,-0.025019547,86,-0.075268817,2.608660786,0.409286275,0.068965517,-0.051538747
https://www.g-niib.com/,Homepage,g niib,1246,-0.090510949,64,-0.304347826,2.78812199,0.559654837,0.051364366,-0.235117594
https://www.g-niib.com/,Homepage,geniebiome,172,0.202797203,38,-0.269230769,1.563953488,0.326191251,0.220930233,-0.392441861
https://www.g-niib.com/,Homepage,geniebiome limited,71,0.044117647,27,-0.129032258,1.154929577,0.066694283,0.38028169,-0.165833712
https://www.g-niib.com/,Homepage,geniebiome ltd,23,0.4375,11,1.2,1.086956522,-0.038043478,0.47826087,0.530434783
https://www.g-niib.com/,Homepage,gnib,309,-0.088495575,11,-0.633333333,2,-0.002949853,0.035598706,-0.597734628
https://www.g-niib.com/,Homepage,niib,68,-0.068493151,3,-0.4,1.705882353,-0.157131346,0.044117647,-0.355882353
https://www.g-niib.com/,Homepage,genie biome,29,0.16,3,,3.206896552,0.086896552,0.103448276,
https://www.g-niib.com/,Homepage,gini b,23,-0.041666667,2,1,2,0.291666667,0.086956522,1.086956522
https://www.g-niib.com/,Homepage,獨g核心,1,-0.75,0,,20,1.75,0,
https://www.g-niib.com/,Homepage,wqw.g,1,,0,,4,,0,
https://www.g-niib.com/,Homepage,ｇ,8,-0.2,0,,2.75,-2.65,0,
https://www.g-niib.com/,Homepage,"www,.g",1,,0,,6,,0,
https://www.g-niib.com/,Homepage,www g,1,-0.75,0,,18,-38,0,
https://www.g-niib.com/,Homepage,www/g,1,0,0,,74,66,0,
https://www.g-niib.com/,Homepage,geni b,2,,0,,2,,0,
https://www.g-niib.com/,Homepage,g-niib watsons,2,,0,,6,,0,
https://www.g-niib.com/,Homepage,g niib watsons,5,0.666666667,0,,6.4,-0.933333333,0,
https://www.g-niib.com/,Homepage,wws.g,1,,0,,5,,0,
https://www.g-niib.com/,Homepage,awww.g,2,,0,,2.5,,0,
https://www.g-niib.com/,Homepage,wwws.g,1,,0,,5,,0,
https://www.g-niib.com/,Homepage,local guide program,4,,0,,1,,0,
https://www.g-niib.com/,Homepage,.wwwg,4,-0.2,0,,4.5,-1.7,0,
https://www.g-niib.com/,Homepage,wwwg,31,-0.114285714,0,,8.451612903,0.50875576,0,
https://www.g-niib.com/,Homepage,wwwq.g,2,,0,,5,,0,
https://www.g-niib.com/,Homepage,g.,18,0.8,0,,5.166666667,-2.133333333,0,
https://www.g-niib.com/,Homepage,/g/,1,,0,,3,,0,
https://www.g-niib.com/,Homepage,g生物,1,0,0,,7,3,0,
https://www.g-niib.com/,Homepage,g 生物,1,,0,,6,,0,
https://www.g-niib.com/,Homepage,giib,5,-0.444444444,0,,9,2,0,
https://www.g-niib.com/,Homepage,gnnib,1,,0,,2,,0,
https://www.g-niib.com/,Homepage,ewww.g,4,-0.2,0,,3.75,-0.25,0,
https://www.g-niib.com/,Homepage,g nii,8,0,0,-1,1.625,-0.125,0,-1
https://www.g-niib.com/,Homepage,g圖片,1,,0,,2,,0,
https://www.g-niib.com/,Homepage,genie b,1,,0,,2,,0,
https://www.g-niib.com/,Homepage,g nibb,1,-0.666666667,0,,2,-1,0,
https://www.g-niib.com/,Homepage,ginii,2,,0,,6,,0,
https://www.g-niib.com/,Homepage,g',16,1.285714286,0,,4.6875,2.258928571,0,
https://www.g-niib.com/,Homepage,群帶關係,1,,0,,79,,0,
https://www.g-niib.com/,Homepage,g‘,6,,0,,2.5,,0,
https://www.g-niib.com/,Homepage,g -class,1,,0,,12,,0,
https://www.g-niib.com/,Homepage,/g,1,,0,,3,,0,
https://www.g-niib.com/,Homepage,g:,1,,0,,1,,0,
https://www.g-niib.com/,Homepage,精進微生物科技有限公司,1,,0,,10,,0,
https://www.g-niib.com/,Homepage,gniip,1,,0,,3,,0,
https://www.g-niib.com/,Homepage,giib 益生菌,1,,0,,4,,0,
https://www.g-niib.com/,Homepage,www.g,5,-0.166666667,0,,69.6,40.76666667,0,
https://www.g-niib.com/,Homepage,萬寧 gniib,1,,0,,3,,0,
https://www.g-niib.com/,Homepage,g、,6,,0,,3.166666667,,0,
https://www.g-niib.com/,Homepage,g niib hk,10,-0.855072464,0,-1,3.9,1.05942029,0,-1
https://www.g-niib.com/,Homepage,"g,",27,0.6875,0,,6.185185185,1.810185185,0,
https://www.g-niib.com/,Homepage,g-niib hk,1,,0,,3,,0,
https://www.g-niib.com/,Homepage,g],8,0.6,0,,6.5,1.3,0,
https://www.g-niib.com/,Homepage,g\,4,3,0,,4.75,-5.25,0,
https://www.g-niib.com/,Homepage,cwww.g,1,,0,,4,,0,
https://www.g-niib.com/,Homepage,g,2774,0.363815143,0,,5.174477289,-1.208020253,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,愷頤家庭醫學中心,5,4,0,,17.2,-2.8,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,香港九龍尖沙咀彌敦道26號1302-5室,25,-0.264705882,0,,9.92,0.125882353,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,彌敦道26號12樓,1,,0,,21,,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,智賢中西醫療中心,4,,0,,14.75,,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,813 醫療中心,1,-0.5,0,,21,-0.5,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,緻安醫療中心,6,0.5,0,,16.16666667,2.666666667,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,沙田澤祥街9號,1,-0.666666667,0,,33,1,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,晉柏醫務中心,1,,0,,45,,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,港島東醫務中心,2,,0,,26,,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,灣仔 診所,1,,0,,75,,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,good health medical practices limited,3,2,0,,10,-1,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,晉樂醫療,4,,0,,10.5,,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,813醫療中心,5,-0.166666667,0,,21.4,-1.433333333,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,機構名稱,1,0,0,,30,-4,0,
https://www.g-niib.com/assets/frontend/common/documents/gniib_coverage.pdf,Others,診所名稱,3,,0,,6.666666667,,0,
https://www.g-niib.com/zh-hans,Homepage,geniebiome limited,47,0.068181818,1,,1.234042553,0.097678917,0.021276596,
https://www.g-niib.com/zh-hans,Homepage,geniebiome ltd,12,0.333333333,0,,1,-0.222222222,0,
https://www.g-niib.com/zh-hans,Homepage,geniebiome,93,-0.154545455,0,,1.322580645,0.013489736,0,
https://www.g-niib.com/zh-hans/about,Info Pages,geniebiome,5,1.5,0,,2,0,0,
https://www.g-niib.com/zh-hans/blog/detail/%E5%92%96%E5%95%A1%E5%B0%8D%E8%85%B8%E9%81%93%E6%98%AF%E5%A5%BD%E6%98%AF%E5%A3%9E-%E9%81%A9%E9%87%8F%E9%A3%B2%E7%94%A8%E4%BF%83%E5%8A%A9%E8%85%B8%E9%81%93%E8%A0%95%E5%8B%95,Blog,咖啡刺激腸胃,2,-0.333333333,1,,1,-5.666666667,0.5,
