Landing Page,Page Type,Query,Impressions,% Δ,Clicks,% Δ,Avg. Position,Δ,URL CTR,% Δ
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全年旅遊保險,,,62,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia 旅遊保險,,,11,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全年旅遊保險180日,,,10,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,一年旅遊保險,,,9,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,旅遊保險全年,,,6,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia旅遊保險網上投保,,,5,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,旅遊保險 全年,,,5,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia全年旅遊保險,,,4,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia旅遊保險,,,4,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,bowtie 旅遊保險,,,3,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,旅遊保險 bowtie,,,2,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia單次旅遊保險,,,2,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全年旅遊保,,,2,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia旅遊保險價錢,,,2,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全年旅游保险,,,2,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,旅遊保險 aia,,,2,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia 旅遊保,,,1,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,旅遊保險aia,,,1,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全年旅遊保險保障期,,,1,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,大陸旅遊保險,,,1,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia旅游保险,,,1,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,旅遊保險 一年,,,1,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全年旅遊保險優惠,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,一年期海外工作保險,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,盲腸炎 保險,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全年旅遊保險比較,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia 智遊保,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia 旅遊 保險,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全 年 旅遊 保險 比較,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全年旅遊保險限制,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia 旅行保险,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,旅遊保險,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia旅遊保,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,公幹保險,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,bowtie旅遊保險,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,bowtie 旅遊保,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全年旅遊保險 比較,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia 旅游保险,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,友邦旅遊保險,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,全 年 旅遊 保險,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,綜合旅遊保險,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia旅遊保險投保,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia 旅行保險,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,高壓氧治療費用香港,,,0,,,,,
https://www.aig.com.hk/zh/personal/annual-travel-insurance,,aia智遊保,,,0,,,,,
https://www.aig.com.hk/zh/personal/auto,,汽車保險,,,411,,,,,
https://www.aig.com.hk/zh/personal/auto,,車保,,,407,,,,,
https://www.aig.com.hk/zh/personal/auto,,車保險,,,49,,,,,
https://www.aig.com.hk/zh/personal/auto,,汽車保險報價,,,47,,,,,
https://www.aig.com.hk/zh/personal/auto,,車保計算機,,,27,,,,,
https://www.aig.com.hk/zh/personal/auto,,車保報價,,,26,,,,,
https://www.aig.com.hk/zh/personal/auto,,三保報價,,,24,,,,,
https://www.aig.com.hk/zh/personal/auto,,私家車保險,,,13,,,,,
https://www.aig.com.hk/zh/personal/auto,,aia 車保,,,12,,,,,
https://www.aig.com.hk/zh/personal/auto,,車 保險,,,12,,,,,
https://www.aig.com.hk/zh/personal/auto,,網上車保,,,11,,,,,
https://www.aig.com.hk/zh/personal/auto,,車保比較,,,10,,,,,
https://www.aig.com.hk/zh/personal/auto,,車保即時報價,,,10,,,,,
https://www.aig.com.hk/zh/personal/auto,,車輛保險,,,9,,,,,
https://www.aig.com.hk/zh/personal/auto,,汽車保險 報價,,,9,,,,,
https://www.aig.com.hk/zh/personal/auto,,汽车保险,,,8,,,,,
https://www.aig.com.hk/zh/personal/auto,,aia車保,,,8,,,,,
https://www.aig.com.hk/zh/personal/auto,,汽車保險即時報價,,,7,,,,,
https://www.aig.com.hk/zh/personal/auto,,汽車保險網上報價,,,7,,,,,
https://www.aig.com.hk/zh/personal/auto,,車保網上報價,,,7,,,,,
https://www.aig.com.hk/zh/personal/auto,,車保邊間好,,,6,,,,,
https://www.aig.com.hk/zh/personal/auto,,全保報價,,,6,,,,,
https://www.aig.com.hk/zh/personal/auto,,車保 即時報價,,,5,,,,,
https://www.aig.com.hk/zh/personal/auto,,汽車保險費用,,,5,,,,,
