Landing Page,Page Type,Query,Impressions,% Δ,Clicks,% Δ,Avg. Position,Δ,URL CTR,% Δ
https://www.vans.com.sg/men.html,,vans,,,148,,,,,
https://www.vans.com.sg/men.html,,vans singapore,,,116,,,,,
https://www.vans.com.sg/women.html,,vans,,,110,,,,,
https://www.vans.com.sg/women.html,,vans singapore,,,84,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans singapore,,,62,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans,,,46,,,,,
https://www.vans.com.sg/all-slip-on.html,,vans slip on,,,39,,,,,
https://www.vans.com.sg/all-comfycush.html,,vans comfycush,,,27,,,,,
https://www.vans.com.sg/women.html,,vans shoes,,,25,,,,,
https://www.vans.com.sg/women.html,,vans sg,,,25,,,,,
https://www.vans.com.sg/men/clothing/pants.html,,cargo pants singapore,,,24,,,,,
https://www.vans.com.sg/women/accessories/backpack-bags.html,,vans backpack,,,24,,,,,
https://www.vans.com.sg/men.html,,vans sg,,,24,,,,,
https://www.vans.com.sg/men/shoes.html,,vans,,,21,,,,,
https://www.vans.com.sg/men.html,,vans shoes,,,20,,,,,
https://www.vans.com.sg/allclassicsshoe.html,,vans singapore,,,19,,,,,
https://www.vans.com.sg/women/accessories/backpack-bags.html,,vans bag,,,18,,,,,
https://www.vans.com.sg/men/clothing/t-shirts-tanks.html,,vans shirt,,,16,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans sale,,,15,,,,,
https://www.vans.com.sg/men/clothing/hoodies-sweatshirts.html,,hoodie,,,15,,,,,
https://www.vans.com.sg/all-sk8-hi.html,,vans sk8 hi,,,15,,,,,
https://www.vans.com.sg/all-sk8-hi.html,,vans high cut,,,15,,,,,
https://www.vans.com.sg/vans-one-piece-collection.html,,vans one piece,,,14,,,,,
https://www.vans.com.sg/men/clothing/hoodies-sweatshirts.html,,vans hoodie,,,14,,,,,
https://www.vans.com.sg/kids.html,,vans kids,,,14,,,,,
https://www.vans.com.sg/men/clothing/pants.html,,cargo pants,,,13,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans imm,,,13,,,,,
https://www.vans.com.sg/men/clothing/jackets.html,,vans windbreaker,,,13,,,,,
https://www.vans.com.sg/kids.html,,vans singapore,,,12,,,,,
https://www.vans.com.sg/men/accessories/backpack-bags.html,,vans bag,,,12,,,,,
https://www.vans.com.sg/allclassicsshoe.html,,vans sg,,,12,,,,,
https://www.vans.com.sg/men/shoes.html,,vans shoes,,,12,,,,,
https://www.vans.com.sg/all-authentic.html,,vans authentic,,,11,,,,,
https://www.vans.com.sg/men/shoes.html,,vans singapore,,,11,,,,,
https://www.vans.com.sg/sk8-low.html,,vans sk8 low,,,10,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans singapore sale,,,10,,,,,
https://www.vans.com.sg/comfycush,,vans comfycush,,,9,,,,,
https://www.vans.com.sg/sailor-moon-collection.html,,vans sailor moon,,,9,,,,,
https://www.vans.com.sg/men/accessories/backpack-bags.html,,vans tote bag,,,9,,,,,
https://www.vans.com.sg/all-slip-on.html,,slip on shoes,,,9,,,,,
https://www.vans.com.sg/men/accessories/wallets.html,,vans wallet,,,9,,,,,
https://www.vans.com.sg/season-sale-sg.html,,imm vans,,,9,,,,,
https://www.vans.com.sg/wayvee,,vans wayvee,,,8,,,,,
https://www.vans.com.sg/all-slip-on.html,,vans singapore,,,8,,,,,
https://www.vans.com.sg/men/clothing/pants.html,,cargo pants men,,,8,,,,,
https://www.vans.com.sg/vans-one-piece-collection.html,,one piece vans,,,8,,,,,
https://www.vans.com.sg/all-old-skool.html,,vans old skool,,,8,,,,,
https://www.vans.com.sg/vans-one-piece-collection.html,,vans x one piece,,,7,,,,,
https://www.vans.com.sg/trek-slip-on,,vans trek slip on,,,7,,,,,
https://www.vans.com.sg/all-slip-on.html,,slip on sneakers,,,7,,,,,
https://www.vans.com.sg/mule.html,,vans mules,,,7,,,,,
https://www.vans.com.sg/all-comfycush.html,,vans comfycush old skool,,,7,,,,,
https://www.vans.com.sg/comfycush,,vans comfy cush,,,7,,,,,
https://www.vans.com.sg/men/shoes.html,,vans white shoes,,,7,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans sg,,,7,,,,,
https://www.vans.com.sg/men/accessories/socks.html,,vans socks,,,7,,,,,
https://www.vans.com.sg/evdnt-ultimatewaffle-collection.html,,vans evdnt,,,6,,,,,
https://www.vans.com.sg/all-slip-on.html,,vans slip on singapore,,,6,,,,,
https://www.vans.com.sg/men/accessories/beanies.html,,vans beanie,,,6,,,,,
https://www.vans.com.sg/checkerboard.html,,vans checkered,,,6,,,,,
https://www.vans.com.sg/trek-slip-on,,vans slip on trek,,,6,,,,,
https://www.vans.com.sg/men/clothing/jackets.html,,vans jacket,,,6,,,,,
https://www.vans.com.sg/men/shoes/pro-skate.html,,vans skate shoes,,,6,,,,,
https://www.vans.com.sg/men/accessories/backpack-bags.html,,vans backpack,,,6,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans shoes,,,6,,,,,
https://www.vans.com.sg/men/accessories/hats-snapbacks.html,,vans cap,,,6,,,,,
https://www.vans.com.sg/men/shoes/pro-skate.html,,skate shoes,,,6,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans sale singapore,,,6,,,,,
https://www.vans.com.sg/allclassicsshoe.html,,vans classic,,,5,,,,,
https://www.vans.com.sg/sandyliang.html,,sandy liang vans,,,5,,,,,
https://www.vans.com.sg/all-slip-on.html,,vans loafers,,,5,,,,,
https://www.vans.com.sg/reward-points,,vans membership,,,5,,,,,
https://www.vans.com.sg/all-comfycush.html,,vans comfy cush,,,5,,,,,
https://www.vans.com.sg/sustainability,,vans sustainability,,,5,,,,,
https://www.vans.com.sg/men/shoes.html,,vans sneakers,,,5,,,,,
https://www.vans.com.sg/stranger-things-collection.html,,vans stranger things,,,5,,,,,
https://www.vans.com.sg/all-slip-on.html,,slip on vans,,,5,,,,,
https://www.vans.com.sg/men/clothing/pants.html,,cargo pants for men,,,5,,,,,
https://www.vans.com.sg/trek-slip-on,,vans trek,,,5,,,,,
https://www.vans.com.sg/men/clothing/pants.html,,men cargo pants,,,5,,,,,
https://www.vans.com.sg/kids.html,,vans kids shoes,,,5,,,,,
https://www.vans.com.sg/all-slip-on.html,,van slip ons,,,5,,,,,
https://www.vans.com.sg/kids.html,,vans baby,,,5,,,,,
https://www.vans.com.sg/men/accessories/backpack-bags.html,,vans crossbody bag,,,5,,,,,
https://www.vans.com.sg/sailor-moon-collection.html,,sailor moon vans,,,5,,,,,
https://www.vans.com.sg/men.html,,vans sneakers,,,5,,,,,
https://www.vans.com.sg/women.html,,vans sneakers,,,5,,,,,
https://www.vans.com.sg/all-era.html,,vans era,,,5,,,,,
https://www.vans.com.sg/mule-family,,vans mule,,,5,,,,,
https://www.vans.com.sg/men/clothing/t-shirts-tanks.html,,vans t shirt,,,4,,,,,
https://www.vans.com.sg/trek-slip-on,,vans slip on trk,,,4,,,,,
https://www.vans.com.sg/mte.html,,vans mte,,,4,,,,,
https://www.vans.com.sg/all-slip-on.html,,vans slip ons,,,4,,,,,
https://www.vans.com.sg/men/shoes/pro-skate.html,,skating shoes,,,4,,,,,
https://www.vans.com.sg/kids.html,,vans toddler,,,4,,,,,
https://www.vans.com.sg/men/clothing/hoodies-sweatshirts.html,,hoodies,,,4,,,,,
https://www.vans.com.sg/women/accessories/backpack-bags.html,,vans backpack singapore,,,4,,,,,
https://www.vans.com.sg/kids.html,,vans,,,4,,,,,
https://www.vans.com.sg/vans-ireneisgood.html,,vans ireneisgood,,,4,,,,,
https://www.vans.com.sg/spongebob.html,,spongebob vans,,,4,,,,,
https://www.vans.com.sg/men.html,,vans shoes singapore,,,4,,,,,
https://www.vans.com.sg/anaheim.html,,vans anaheim factory,,,4,,,,,
https://www.vans.com.sg/surf-ultrarange-vr3.html,,vans ultrarange vr3,,,4,,,,,
https://www.vans.com.sg/men/accessories/backpack-bags.html,,vans sling bag,,,4,,,,,
https://www.vans.com.sg/women/accessories/beanies.html,,vans beanie,,,4,,,,,
https://www.vans.com.sg/men/accessories/backpack-bags.html,,vans backpack singapore,,,4,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans discount,,,4,,,,,
https://www.vans.com.sg/the-lizzie,,vans the lizzie,,,4,,,,,
https://www.vans.com.sg/kids/115.html,,vans kids,,,4,,,,,
https://www.vans.com.sg/women/shoes.html,,vans shoes women,,,4,,,,,
https://www.vans.com.sg/men/clothing/boardshorts.html,,vans shorts,,,4,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans sneakers,,,4,,,,,
https://www.vans.com.sg/bmx.html,,vans bmx,,,4,,,,,
https://www.vans.com.sg/men/shoes.html,,vans mens shoes,,,3,,,,,
https://www.vans.com.sg/comfycush,,comfy cush vans,,,3,,,,,
https://www.vans.com.sg/men/shoes.html,,vans shoes singapore,,,3,,,,,
https://www.vans.com.sg/all-comfycush.html,,comfycush,,,3,,,,,
https://www.vans.com.sg/wayvee,,vans wayvee singapore,,,3,,,,,
https://www.vans.com.sg/men/clothing/hoodies-sweatshirts.html,,vans sweatshirt,,,3,,,,,
https://www.vans.com.sg/women/clothing/t-shirts-tanks.html,,vans shirt,,,3,,,,,
https://www.vans.com.sg/checkerboard.html,,vans checkerboard,,,3,,,,,
https://www.vans.com.sg/allclassicsshoe.html,,vans slip on,,,3,,,,,
https://www.vans.com.sg/vans_x_sailor_moon,,vans sailor moon,,,3,,,,,
https://www.vans.com.sg/men/shoes/pro-skate.html,,vans skate,,,3,,,,,
https://www.vans.com.sg/men.html,,singapore vans,,,3,,,,,
https://www.vans.com.sg/men/accessories/beanies.html,,beanie singapore,,,3,,,,,
https://www.vans.com.sg/mule.html,,vans mule slip on,,,3,,,,,
https://www.vans.com.sg/oldskool,,vans gum sole,,,3,,,,,
https://www.vans.com.sg/sandyliang.html,,sandy liang singapore,,,3,,,,,
