Landing Page,Page Type,Query,Impressions,% Δ,Clicks,% Δ,Avg. Position,Δ,URL CTR,% Δ
https://www.vans.com.sg/,,vans,,,1021,,,,,
https://www.vans.com.sg/,,vans singapore,,,599,,,,,
https://www.vans.com.sg/,,vans sg,,,196,,,,,
https://www.vans.com.sg/men.html,,vans,,,148,,,,,
https://www.vans.com.sg/men.html,,vans singapore,,,116,,,,,
https://www.vans.com.sg/women.html,,vans,,,110,,,,,
https://www.vans.com.sg/,,vans shoes,,,87,,,,,
https://www.vans.com.sg/women.html,,vans singapore,,,84,,,,,
https://www.vans.com.sg/store-locator/,,vans singapore,,,69,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans singapore,,,62,,,,,
https://www.vans.com.sg/old-skool-000d3h.html?color=3532,,vans old skool,,,49,,,,,
https://www.vans.com.sg/season-sale-sg.html,,vans,,,46,,,,,
https://www.vans.com.sg/store-locator/,,vans jewel,,,46,,,,,
https://www.vans.com.sg/all-slip-on.html,,vans slip on,,,39,,,,,
https://www.vans.com.sg/catalogsearch/result/?q=ultrarange,,vans ultrarange,,,34,,,,,
https://www.vans.com.sg/store-locator/,,vans outlet singapore,,,30,,,,,
https://www.vans.com.sg/all-comfycush.html,,vans comfycush,,,27,,,,,
https://www.vans.com.sg/catalogsearch/result/?q=slip-on,,vans slip on,,,27,,,,,
https://www.vans.com.sg/women.html,,vans sg,,,25,,,,,
https://www.vans.com.sg/store-locator/,,vans orchard,,,25,,,,,
https://www.vans.com.sg/women.html,,vans shoes,,,25,,,,,
https://www.vans.com.sg/women/accessories/backpack-bags.html,,vans backpack,,,24,,,,,
https://www.vans.com.sg/men.html,,vans sg,,,24,,,,,
https://www.vans.com.sg/men/clothing/pants.html,,cargo pants singapore,,,24,,,,,
https://www.vans.com.sg/store-locator/,,vans singapore outlet,,,22,,,,,
https://www.vans.com.sg/store-locator/,,vans store singapore,,,21,,,,,
https://www.vans.com.sg/men/shoes.html,,vans,,,21,,,,,
https://www.vans.com.sg/store-locator/,,vans,,,21,,,,,
https://www.vans.com.sg/men.html,,vans shoes,,,20,,,,,
https://www.vans.com.sg/allclassicsshoe.html,,vans singapore,,,19,,,,,
